rep,id,eta_f,eta_h,eta_L_gap,mab_virus,run_id
1,8|462|8|462|cc|7|1|292|1|292|69.0,-0.932865,0,0,69.0|292,462
1,8|462|8|462|cc|8|1|292|1|292|69.0,-0.185528,0,0,69.0|292,462
1,8|462|8|462|vc|1|2|292|2|292|69.0,0.97941,0,0,69.0|292,462
1,8|462|8|462|vc|2|2|292|2|292|69.0,-0.341057,0,0,69.0|292,462
1,8|462|8|462|vc|3|2|292|2|292|69.0,0.574266,0,0,69.0|292,462
1,8|462|8|462|vc|4|2|292|2|292|69.0,0.934287,0,0,69.0|292,462
1,8|462|8|462|vc|5|2|292|2|292|69.0,-0.215431,0,0,69.0|292,462
1,8|462|8|462|vc|6|2|292|2|292|69.0,0.260301,0,0,69.0|292,462
1,8|462|8|462|vc|7|2|292|2|292|69.0,0.199798,0,0,69.0|292,462
1,8|462|8|462|vc|8|2|292|2|292|69.0,-0.691827,0,0,69.0|292,462
1,8|1159|8|1159|sample|8|292|8|292|65.0,0.794065,0,0,65.0|292,1159
1,8|1159|8|1159|sample|7|292|7|292|65.0,0.692866,0,0,65.0|292,1159
1,8|1159|8|1159|sample|5|292|5|292|65.0,0.755941,0,0,65.0|292,1159
1,8|1159|8|1159|sample|6|292|6|292|65.0,0.678057,0,0,65.0|292,1159
1,8|1159|8|1159|sample|11|292|11|292|28.0,-0.922717,0,0,28.0|292,1159
1,8|1159|8|1159|sample|12|292|12|292|28.0,-1.0743,0,0,28.0|292,1159
1,8|1159|8|1159|sample|9|292|9|292|28.0,-0.143522,0,0,28.0|292,1159
1,8|1159|8|1159|sample|10|292|10|292|28.0,-0.458505,0,0,28.0|292,1159
1,8|1159|8|1159|sample|4|292|4|292|22.0,1.05875,0,0,22.0|292,1159
1,8|1159|8|1159|sample|3|292|3|292|22.0,0.984959,0,0,22.0|292,1159
1,8|1159|8|1159|cc|1|1|292|1|292|69.0,-1.34948,0,0,69.0|292,1159
1,8|1159|8|1159|cc|2|1|292|1|292|69.0,-1.6182,0,0,69.0|292,1159
1,8|1159|8|1159|cc|3|1|292|1|292|69.0,0.256415,0,0,69.0|292,1159
1,8|1159|8|1159|cc|4|1|292|1|292|69.0,-1.33086,0,0,69.0|292,1159
1,8|1159|8|1159|cc|5|1|292|1|292|69.0,1.05235,0,0,69.0|292,1159
1,8|1159|8|1159|cc|6|1|292|1|292|69.0,-1.64942,0,0,69.0|292,1159
1,8|1159|8|1159|cc|7|1|292|1|292|69.0,-0.48142,0,0,69.0|292,1159
1,8|1159|8|1159|cc|8|1|292|1|292|69.0,-2.31514,0,0,69.0|292,1159
1,8|1159|8|1159|vc|1|2|292|2|292|69.0,-1.05258,0,0,69.0|292,1159
1,8|1159|8|1159|vc|2|2|292|2|292|69.0,-1.10487,0,0,69.0|292,1159
1,8|1159|8|1159|vc|3|2|292|2|292|69.0,-0.874548,0,0,69.0|292,1159
1,8|1159|8|1159|vc|4|2|292|2|292|69.0,-0.438049,0,0,69.0|292,1159
1,8|1159|8|1159|vc|5|2|292|2|292|69.0,-2.04623,0,0,69.0|292,1159
1,8|1159|8|1159|vc|6|2|292|2|292|69.0,0.674934,0,0,69.0|292,1159
1,8|1159|8|1159|vc|7|2|292|2|292|69.0,-0.437661,0,0,69.0|292,1159
1,8|1159|8|1159|vc|8|2|292|2|292|69.0,0.604674,0,0,69.0|292,1159
1,8|1197|8|1197|sample|7|103|7|103|65.0,-1.35472,0,0,65.0|103,1197
1,8|1197|8|1197|sample|8|103|8|103|65.0,-1.23685,0,0,65.0|103,1197
1,8|1197|8|1197|sample|6|103|6|103|65.0,-1.39763,0,0,65.0|103,1197
1,8|1197|8|1197|sample|5|103|5|103|65.0,-1.23842,0,0,65.0|103,1197
1,8|1197|8|1197|sample|12|103|12|103|28.0,-1.91339,0,0,28.0|103,1197
1,8|1197|8|1197|sample|10|103|10|103|28.0,-1.60676,0,0,28.0|103,1197
1,8|1197|8|1197|sample|9|103|9|103|28.0,-1.56591,0,0,28.0|103,1197
1,8|1197|8|1197|sample|3|103|3|103|22.0,-1.34273,0,0,22.0|103,1197
1,8|1197|8|1197|sample|4|103|4|103|22.0,-1.38098,0,0,22.0|103,1197
1,8|1197|8|1197|sample|11|103|11|103|28.0,-2.02823,0,0,28.0|103,1197
