id,L_SAEM,m_SAEM,e_SAEM,alpha_SAEM,k_SAEM,L_mode,m_mode,e_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
8|84|vc|2|2|162,445.217,9.75726,6.87999,49944.2,13.4011,447.038,10.0523,6.87976,50189.4,13.3988,False,69.0|162,84
8|84|vc|3|2|162,445.217,9.86597,6.87999,49944.2,13.4011,447.038,10.0523,6.87976,50189.4,13.3988,False,69.0|162,84
8|84|vc|4|2|162,445.217,10.0063,6.87999,49944.2,13.4011,447.038,10.0523,6.87976,50189.4,13.3988,False,69.0|162,84
8|84|vc|5|2|162,445.217,10.4417,6.87999,49944.2,13.4011,447.038,10.0523,6.87976,50189.4,13.3988,False,69.0|162,84
8|84|vc|6|2|162,445.217,10.004,6.87999,49944.2,13.4011,447.038,10.0523,6.87976,50189.4,13.3988,False,69.0|162,84
8|84|vc|7|2|162,445.217,9.84169,6.87999,49944.2,13.4011,447.038,10.0523,6.87976,50189.4,13.3988,False,69.0|162,84
8|84|vc|8|2|162,445.217,9.90975,6.87999,49944.2,13.4011,447.038,10.0523,6.87976,50189.4,13.3988,False,69.0|162,84
8|719|cc|1|1|274,445.218,9.66198,6.87999,49944.2,13.4017,447.039,10.0523,6.87976,50189.4,13.3993,False,69.0|274,719
8|719|cc|2|1|274,445.218,10.043,6.87999,49944.2,13.4017,447.039,10.0523,6.87976,50189.4,13.3993,False,69.0|274,719
8|719|cc|3|1|274,445.218,9.95978,6.87999,49944.2,13.4017,447.039,10.0523,6.87976,50189.4,13.3993,False,69.0|274,719
8|719|cc|4|1|274,445.218,10.017,6.87999,49944.2,13.4017,447.039,10.0523,6.87976,50189.4,13.3993,False,69.0|274,719
8|719|cc|5|1|274,445.218,10.0975,6.87999,49944.2,13.4017,447.039,10.0523,6.87976,50189.4,13.3993,False,69.0|274,719
8|719|cc|6|1|274,445.218,10.0081,6.87999,49944.2,13.4017,447.039,10.0523,6.87976,50189.4,13.3993,False,69.0|274,719
8|719|cc|7|1|274,445.218,10.1744,6.87999,49944.2,13.4017,447.039,10.0523,6.87976,50189.4,13.3993,False,69.0|274,719
8|719|cc|8|1|274,445.218,10.1448,6.87999,49944.2,13.4017,447.039,10.0523,6.87976,50189.4,13.3993,False,69.0|274,719
8|719|sample|10|274,445.218,1.57286,6.88014,49944.2,13.4017,447.039,1.59775,6.8799,50189.4,13.3993,True,32.0|274,719
8|719|sample|11|274,445.218,1.89583,6.88014,49944.2,13.4017,447.039,1.95736,6.8799,50189.4,13.3993,True,22.0|274,719
8|719|sample|12|274,445.218,2.3204,6.88014,49944.2,13.4017,447.039,2.13709,6.8799,50189.4,13.3993,True,22.0|274,719
8|719|sample|3|274,445.218,0.448206,6.88014,49944.2,13.4017,447.039,0.37804,6.8799,50189.4,13.3993,True,55.0|274,719
8|719|sample|4|274,445.218,0.298317,6.88014,49944.2,13.4017,447.039,0.3738,6.8799,50189.4,13.3993,True,55.0|274,719
8|719|sample|5|274,445.218,0.548852,6.88014,49944.2,13.4017,447.039,0.550756,6.8799,50189.4,13.3993,True,55.0|274,719
8|719|sample|6|274,445.218,0.549064,6.88014,49944.2,13.4017,447.039,0.563366,6.8799,50189.4,13.3993,True,55.0|274,719
8|719|sample|7|274,445.218,1.51935,6.88014,49944.2,13.4017,447.039,1.55089,6.8799,50189.4,13.3993,True,32.0|274,719
8|719|sample|8|274,445.218,1.58156,6.88014,49944.2,13.4017,447.039,1.56022,6.8799,50189.4,13.3993,True,32.0|274,719
8|719|sample|9|274,445.218,1.64308,6.88014,49944.2,13.4017,447.039,1.6146,6.8799,50189.4,13.3993,True,32.0|274,719
8|719|vc|1|2|274,445.218,9.92411,6.87999,49944.2,13.4017,447.039,10.0523,6.87976,50189.4,13.3993,False,69.0|274,719
8|719|vc|2|2|274,445.218,9.82418,6.87999,49944.2,13.4017,447.039,10.0523,6.87976,50189.4,13.3993,False,69.0|274,719
8|719|vc|3|2|274,445.218,9.96376,6.87999,49944.2,13.4017,447.039,10.0523,6.87976,50189.4,13.3993,False,69.0|274,719
8|719|vc|4|2|274,445.218,9.94534,6.87999,49944.2,13.4017,447.039,10.0523,6.87976,50189.4,13.3993,False,69.0|274,719
8|719|vc|5|2|274,445.218,10.3198,6.87999,49944.2,13.4017,447.039,10.0523,6.87976,50189.4,13.3993,False,69.0|274,719
8|719|vc|6|2|274,445.218,9.40708,6.87999,49944.2,13.4017,447.039,10.0523,6.87976,50189.4,13.3993,False,69.0|274,719
