id,f_SAEM,h_SAEM,s_SAEM,L_gap_SAEM,f_mode,h_mode,s_mode,L_gap_mode,mab_virus,run_id
8|1056|8|1056|vc|7|2|276|2|276|69.0,0.268154,1.14396,1.19595,-3.85448,0.268155,1.14396,1.19595,-3.83316,69.0|276,1056
8|1056|8|1056|vc|8|2|276|2|276|69.0,0.268154,1.14396,1.19595,-3.85642,0.268155,1.14396,1.19595,-3.83316,69.0|276,1056
8|462|8|462|sample|6|292|6|292|55.0,0.268154,0.331158,1.19595,-2.44101,0.268155,0.331159,1.19595,-2.41503,55.0|292,462
8|462|8|462|sample|5|292|5|292|55.0,0.268154,0.331158,1.19595,-2.42971,0.268155,0.331159,1.19595,-2.41503,55.0|292,462
8|462|8|462|sample|4|292|4|292|55.0,0.268154,0.331158,1.19595,-2.38718,0.268155,0.331159,1.19595,-2.41503,55.0|292,462
8|462|8|462|sample|3|292|3|292|55.0,0.268154,0.331158,1.19595,-2.41435,0.268155,0.331159,1.19595,-2.41503,55.0|292,462
8|462|8|462|sample|9|292|9|292|32.0,0.268154,0.780523,7.42043,-2.4034,0.268155,0.780525,7.42044,-2.41506,32.0|292,462
8|462|8|462|sample|10|292|10|292|32.0,0.268154,0.780523,7.42043,-2.41453,0.268155,0.780525,7.42044,-2.41505,32.0|292,462
8|462|8|462|sample|7|292|7|292|32.0,0.268154,0.780523,7.42043,-2.45354,0.268155,0.780525,7.42044,-2.41503,32.0|292,462
8|462|8|462|sample|8|292|8|292|32.0,0.268154,0.780523,7.42043,-2.41702,0.268155,0.780525,7.42044,-2.41504,32.0|292,462
8|462|8|462|sample|11|292|11|292|22.0,0.423236,1.15874,1.19595,-2.42919,0.423237,1.15874,1.19595,-2.41505,22.0|292,462
8|462|8|462|sample|12|292|12|292|22.0,0.423236,1.15874,1.19595,-2.42415,0.423237,1.15874,1.19595,-2.41503,22.0|292,462
8|462|8|462|cc|1|1|292|1|292|69.0,0.268154,0.331158,1.19592,-2.42982,0.268155,0.331159,1.19592,-2.41503,69.0|292,462
8|462|8|462|cc|2|1|292|1|292|69.0,0.268154,0.331158,1.19592,-2.43565,0.268155,0.331159,1.19592,-2.41503,69.0|292,462
8|462|8|462|cc|3|1|292|1|292|69.0,0.268154,0.331158,1.19592,-2.41348,0.268155,0.331159,1.19592,-2.41503,69.0|292,462
8|462|8|462|cc|4|1|292|1|292|69.0,0.268154,0.331158,1.19592,-2.43916,0.268155,0.331159,1.19592,-2.41504,69.0|292,462
8|462|8|462|cc|5|1|292|1|292|69.0,0.268154,0.331158,1.19592,-2.42396,0.268155,0.331159,1.19592,-2.41503,69.0|292,462
8|462|8|462|cc|6|1|292|1|292|69.0,0.268154,0.331158,1.19592,-2.4092,0.268155,0.331159,1.19592,-2.41503,69.0|292,462
8|462|8|462|cc|7|1|292|1|292|69.0,0.268154,0.331158,1.19592,-2.42165,0.268155,0.331159,1.19592,-2.41503,69.0|292,462
8|462|8|462|cc|8|1|292|1|292|69.0,0.268154,0.331158,1.19592,-2.41927,0.268155,0.331159,1.19592,-2.41504,69.0|292,462
8|462|8|462|vc|1|2|292|2|292|69.0,0.268154,0.331158,1.19592,-2.41477,0.268155,0.331159,1.19592,-2.41503,69.0|292,462
8|462|8|462|vc|2|2|292|2|292|69.0,0.268154,0.331158,1.19592,-2.41383,0.268155,0.331159,1.19592,-2.41504,69.0|292,462
8|462|8|462|vc|3|2|292|2|292|69.0,0.268154,0.331158,1.19592,-2.43036,0.268155,0.331159,1.19592,-2.41503,69.0|292,462
8|462|8|462|vc|4|2|292|2|292|69.0,0.268154,0.331158,1.19592,-2.42673,0.268155,0.331159,1.19592,-2.41503,69.0|292,462
8|462|8|462|vc|5|2|292|2|292|69.0,0.268154,0.331158,1.19592,-2.41894,0.268155,0.331159,1.19592,-2.41503,69.0|292,462
8|462|8|462|vc|6|2|292|2|292|69.0,0.268154,0.331158,1.19592,-2.4037,0.268155,0.331159,1.19592,-2.41503,69.0|292,462
8|462|8|462|vc|7|2|292|2|292|69.0,0.268154,0.331158,1.19592,-2.4354,0.268155,0.331159,1.19592,-2.41503,69.0|292,462
8|462|8|462|vc|8|2|292|2|292|69.0,0.268154,0.331158,1.19592,-2.4511,0.268155,0.331159,1.19592,-2.41503,69.0|292,462
