id,eta_f_SAEM,eta_h_SAEM,eta_s_SAEM,eta_L_gap_SAEM,eta_f_mean,eta_h_mean,eta_s_mean,eta_L_gap_mean,eta_f_mode,eta_h_mode,eta_s_mode,eta_L_gap_mode,eta_f_sd,eta_h_sd,eta_s_sd,eta_L_gap_sd,mab_virus,run_id
8|152|8|152|sample|7|322|7|322|65.0,-0.542463,-1.73415e-09,-1.76962e-08,1.03306e-09,-0.538908,-5.02968e-09,5.11132e-09,1.3934e-08,-0.529148,2.36144e-13,1.80966e-13,8.52651e-14,0.0685057,4.12975e-08,3.62581e-08,5.40705e-08,65.0|322,152
8|152|8|152|sample|6|322|6|322|65.0,-0.541909,-7.1412e-09,7.28784e-09,3.65773e-09,-0.547982,-3.87927e-11,-5.20936e-10,1.44561e-08,-0.540149,4.23661e-13,-2.27263e-13,2.22045e-15,0.0575562,4.17e-08,4.12863e-08,6.39797e-08,65.0|322,152
8|152|8|152|sample|5|322|5|322|65.0,-0.647939,-5.46543e-09,2.22338e-09,4.97983e-09,-0.656649,-7.59038e-09,5.09165e-09,1.02307e-08,-0.645295,1.87961e-13,2.14273e-13,6.03961e-14,0.0670364,3.81794e-08,3.73446e-08,5.49256e-08,65.0|322,152
8|152|8|152|sample|12|322|12|322|28.0,-0.49469,-7.01488e-09,3.35799e-09,1.83121e-09,-0.494994,-2.92989e-09,2.45221e-09,3.05846e-09,-0.505821,-5.02154e-13,3.90576e-13,1.26343e-13,0.0569963,3.57761e-08,5.28118e-08,5.53382e-08,28.0|322,152
8|152|8|152|sample|11|322|11|322|28.0,-0.325481,-7.39631e-10,7.14459e-10,1.10573e-08,-0.352329,-2.56315e-09,5.08005e-10,9.01121e-09,-0.321338,5.76428e-13,6.63469e-13,5.31353e-13,0.0484599,3.46748e-08,4.08998e-08,4.69788e-08,28.0|322,152
8|152|8|152|sample|10|322|10|322|28.0,-0.330495,3.07694e-09,8.58795e-09,1.15618e-08,-0.323081,-1.01878e-08,-4.32747e-09,-6.23007e-09,-0.341418,-3.04201e-14,2.85327e-13,4.79394e-13,0.0647752,4.461e-08,4.41735e-08,4.75114e-08,28.0|322,152
8|152|8|152|sample|9|322|9|322|28.0,-0.148039,1.43412e-09,-7.86807e-09,-5.82533e-09,-0.152947,5.75261e-09,8.53032e-10,-8.45201e-09,-0.161999,2.02061e-14,2.98428e-13,2.86882e-13,0.0521936,4.46799e-08,4.87668e-08,5.2861e-08,28.0|322,152
8|152|8|152|sample|3|322|3|322|22.0,-1.2546,7.78464e-09,-1.06865e-09,-2.36128e-09,-1.27555,-1.85423e-08,4.55896e-09,-2.97835e-09,-1.27388,-3.68261e-13,-2.62124e-13,2.71783e-13,0.0562876,4.03512e-08,5.01313e-08,5.11729e-08,22.0|322,152
8|152|8|152|sample|4|322|4|322|22.0,-1.12167,-1.29496e-09,-6.9751e-09,1.60492e-09,-1.13956,-9.7515e-10,-4.02442e-09,1.13867e-08,-1.14725,2.22045e-13,-1.91458e-13,4.10783e-13,0.062695,4.0962e-08,3.85231e-08,4.89372e-08,22.0|322,152
8|152|8|152|cc|1|1|322|1|322|69.0,-0.0428727,-9.94683e-09,1.99658e-09,1.0896e-09,-0.0375776,-7.02625e-09,8.48019e-09,1.09643e-08,-1.40403e-07,-4.88498e-15,-2.28706e-14,2.08722e-14,0.833797,3.46159e-08,3.82516e-08,4.75482e-08,69.0|322,152
8|152|8|152|cc|2|1|322|1|322|69.0,0.0132335,-7.88245e-09,5.50044e-09,-2.06556e-09,0.0551671,-4.97326e-09,4.27729e-09,1.89636e-09,2.0196e-07,-2.37588e-14,4.15223e-14,3.9968e-15,0.817731,4.41442e-08,4.31596e-08,5.53262e-08,69.0|322,152
8|152|8|152|cc|3|1|322|1|322|69.0,0.0814203,-1.0254e-09,-1.79622e-09,-1.92892e-09,-0.0474473,-2.66905e-09,6.09062e-09,-4.46461e-09,-4.02721e-07,2.53131e-14,1.78746e-14,-1.70974e-14,0.840375,5.56506e-08,4.17599e-08,5.57678e-08,69.0|322,152
