id,eta_f_SAEM,eta_h_SAEM,eta_L_gap_SAEM,eta_f_mean,eta_h_mean,eta_L_gap_mean,eta_f_mode,eta_h_mode,eta_L_gap_mode,eta_f_sd,eta_h_sd,eta_L_gap_sd,mab_virus,run_id
8|152|8|152|cc|6|1|322|1|322|69.0,-0.314165,-6.80164e-09,2.17867e-09,0.0691326,7.82216e-10,4.1045e-10,3.05999e-08,-2.66454e-15,-7.99361e-15,2.52729,2.71853e-08,3.24739e-08,69.0|322,152
8|152|8|152|cc|7|1|322|1|322|69.0,-0.145021,-2.10698e-09,-3.9539e-09,-0.0921247,-5.39168e-09,-2.91785e-09,-1.52047e-07,-9.76996e-15,-4.44089e-15,2.39732,2.4933e-08,2.94037e-08,69.0|322,152
8|152|8|152|cc|8|1|322|1|322|69.0,0.439625,1.29858e-09,-1.37355e-08,0.0812086,2.43447e-09,1.77856e-09,3.22296e-07,3.55271e-15,3.55271e-15,2.47742,2.58278e-08,3.15188e-08,69.0|322,152
8|152|8|152|vc|1|2|322|2|322|69.0,0.074844,-6.52663e-09,-4.66893e-09,0.0258337,-1.70825e-09,-1.97596e-09,-1.8516e-07,4.44089e-15,-8.88178e-16,2.26886,2.73527e-08,3.34543e-08,69.0|322,152
8|152|8|152|vc|2|2|322|2|322|69.0,0.227923,4.62796e-09,-2.08264e-09,0.0291583,-1.2531e-09,-3.77695e-09,-7.76714e-08,1.06581e-14,7.99361e-15,2.52672,2.60077e-08,3.03312e-08,69.0|322,152
8|152|8|152|vc|3|2|322|2|322|69.0,-0.286621,-3.69624e-09,5.95797e-09,0.104265,2.38216e-09,7.76234e-10,-3.44489e-07,5.32907e-15,-6.21725e-15,2.40385,2.8429e-08,3.14031e-08,69.0|322,152
8|152|8|152|vc|4|2|322|2|322|69.0,0.128147,4.40174e-09,-6.01455e-09,-0.159493,-2.08728e-09,-2.57658e-09,-2.70492e-07,-4.44089e-16,7.10543e-15,2.69428,2.50131e-08,3.08426e-08,69.0|322,152
8|152|8|152|vc|5|2|322|2|322|69.0,0.0720658,1.59636e-09,8.66376e-10,-0.0158677,2.44415e-10,2.92738e-09,3.8747e-07,-1.33227e-15,1.77636e-15,2.60141,2.68245e-08,3.27634e-08,69.0|322,152
8|152|8|152|vc|6|2|322|2|322|69.0,0.31664,-1.94312e-09,-4.0729e-09,0.11347,-3.24573e-11,3.88461e-09,-8.21459e-08,8.88178e-16,-4.44089e-15,2.4543,2.65528e-08,3.4413e-08,69.0|322,152
8|152|8|152|vc|7|2|322|2|322|69.0,0.0379764,-6.57922e-10,-2.44125e-09,-0.177074,2.66283e-09,-7.20379e-10,-2.81352e-07,-4.88498e-15,-8.88178e-16,2.30875,2.55333e-08,3.03772e-08,69.0|322,152
8|152|8|152|vc|8|2|322|2|322|69.0,0.09999,-2.71101e-09,8.69137e-09,-0.257826,-2.07862e-09,2.53454e-09,-2.9023e-07,3.55271e-15,6.21725e-15,2.54888,2.67547e-08,3.28675e-08,69.0|322,152
8|1056|8|1056|sample|8|276|8|276|65.0,-1.89835,1.23161e-08,-2.78087e-09,-1.94028,-1.55624e-09,2.18788e-09,-1.9223,7.32747e-14,-3.10141e-13,0.0567399,2.43116e-08,2.6954e-08,65.0|276,1056
8|1056|8|1056|sample|7|276|7|276|65.0,-1.92037,-4.57993e-09,-2.12419e-09,-1.93297,-4.58378e-09,-5.40677e-11,-1.94654,5.9952e-14,-3.21188e-13,0.0727322,2.64093e-08,2.96996e-08,65.0|276,1056
8|1056|8|1056|sample|6|276|6|276|65.0,-1.91681,-1.12249e-09,-7.49016e-10,-1.89149,-3.93625e-09,-9.42718e-10,-1.92864,-3.16192e-13,2.99205e-14,0.065237,2.7978e-08,3.43175e-08,65.0|276,1056
8|1056|8|1056|sample|5|276|5|276|65.0,-1.98215,-3.82782e-09,3.38328e-09,-1.96988,3.88836e-09,1.06271e-09,-1.97605,8.65974e-14,4.36318e-14,0.0678569,2.71867e-08,2.88627e-08,65.0|276,1056
8|1056|8|1056|sample|12|276|12|276|28.0,-3.49936,8.91714e-09,-1.18259e-08,-3.49961,2.1724e-09,-6.66143e-10,-3.50346,-7.86038e-14,1.32394e-13,0.0870691,2.5778e-08,2.93779e-08,28.0|276,1056
