id,U_SAEM,L_SAEM,h_SAEM,f_SAEM,alpha_SAEM,k_SAEM,U_mode,L_mode,h_mode,f_mode,alpha_mode,k_mode,goes_down,mab_virus,run_id
14|394|14|394|cc|3|1|42|1|42|69.0,0.999998,788.309,5.47083,8.85642e+14,6.40999e-11,0.457765,0.999998,788.309,5.47083,1.00001,6.43712e-11,0.456929,False,69.0|42,394
14|394|14|394|cc|4|1|42|1|42|69.0,0.999998,788.309,5.47083,9.31702e+11,6.40999e-11,0.457765,0.999998,788.309,5.47083,1,6.43712e-11,0.456929,False,69.0|42,394
14|394|14|394|cc|5|1|42|1|42|69.0,0.999998,788.309,5.47083,2.48509e+10,6.40999e-11,0.457765,0.999998,788.309,5.47083,0.999997,6.43712e-11,0.456929,False,69.0|42,394
14|394|14|394|cc|6|1|42|1|42|69.0,0.999998,788.309,5.47083,1.07004e+10,6.40999e-11,0.457765,0.999998,788.309,5.47083,0.999997,6.43712e-11,0.456929,False,69.0|42,394
14|394|14|394|cc|7|1|42|1|42|69.0,0.999998,788.309,5.47083,4.72135e+11,6.40999e-11,0.457765,0.999998,788.309,5.47083,0.999995,6.43712e-11,0.456929,False,69.0|42,394
14|394|14|394|cc|8|1|42|1|42|69.0,0.999998,788.309,5.47083,7.63095e+16,6.40999e-11,0.457765,0.999998,788.309,5.47083,0.999999,6.43712e-11,0.456929,False,69.0|42,394
14|394|14|394|vc|1|2|42|2|42|69.0,0.999998,788.309,5.47083,2.99446e+12,6.40999e-11,0.457765,0.999998,788.309,5.47083,1,6.43712e-11,0.456929,False,69.0|42,394
14|394|14|394|vc|2|2|42|2|42|69.0,0.999998,788.309,5.47083,3.85215e+13,6.40999e-11,0.457765,0.999998,788.309,5.47083,1,6.43712e-11,0.456929,False,69.0|42,394
14|394|14|394|vc|3|2|42|2|42|69.0,0.999998,788.309,5.47083,8.8282e+11,6.40999e-11,0.457765,0.999998,788.309,5.47083,0.999985,6.43712e-11,0.456929,False,69.0|42,394
14|394|14|394|vc|4|2|42|2|42|69.0,0.999998,788.309,5.47083,1.34839e+14,6.40999e-11,0.457765,0.999998,788.309,5.47083,0.999999,6.43712e-11,0.456929,False,69.0|42,394
