rep,id,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,8|75|vc|3|2|65,474.605,1.37461,4.21121,67107.4,14.4742,False,69.0|65,75
1,8|75|vc|4|2|65,474.605,1.37461,1.99493,67107.4,14.4742,False,69.0|65,75
1,8|75|vc|5|2|65,474.605,1.37461,0.722289,67107.4,14.4742,False,69.0|65,75
1,8|75|vc|6|2|65,474.605,1.37461,35.6501,67107.4,14.4742,False,69.0|65,75
1,8|75|vc|7|2|65,474.605,1.37461,12.5266,67107.4,14.4742,False,69.0|65,75
1,8|75|vc|8|2|65,474.605,1.37461,20.3662,67107.4,14.4742,False,69.0|65,75
1,8|291|cc|1|1|103,474.605,1.37469,5.35028,67107.4,14.4742,False,69.0|103,291
1,8|291|cc|2|1|103,474.605,1.37469,2.31325,67107.4,14.4742,False,69.0|103,291
1,8|291|cc|3|1|103,474.605,1.37469,17.4538,67107.4,14.4742,False,69.0|103,291
1,8|291|cc|4|1|103,474.605,1.37469,55.4548,67107.4,14.4742,False,69.0|103,291
1,8|291|cc|5|1|103,474.605,1.37469,41.2272,67107.4,14.4742,False,69.0|103,291
1,8|291|cc|6|1|103,474.605,1.37469,29.0982,67107.4,14.4742,False,69.0|103,291
1,8|291|cc|7|1|103,474.605,1.37469,3.31173,67107.4,14.4742,False,69.0|103,291
1,8|291|cc|8|1|103,474.605,1.37469,0.589863,67107.4,14.4742,False,69.0|103,291
1,8|291|sample|10|103,474.605,1.37468,54.4959,67107.4,14.4742,True,32.0|103,291
1,8|291|sample|11|103,474.605,1.37467,62.4477,67107.4,14.4742,True,22.0|103,291
1,8|291|sample|12|103,474.605,1.37467,60.0846,67107.4,14.4742,True,22.0|103,291
1,8|291|sample|3|103,474.605,1.37468,2.12887,67107.4,14.4742,True,55.0|103,291
1,8|291|sample|4|103,474.605,1.37468,2.45802,67107.4,14.4742,True,55.0|103,291
1,8|291|sample|5|103,474.605,1.37468,2.80102,67107.4,14.4742,True,55.0|103,291
1,8|291|sample|6|103,474.605,1.37468,2.74197,67107.4,14.4742,True,55.0|103,291
1,8|291|sample|7|103,474.605,1.37468,56.6173,67107.4,14.4742,True,32.0|103,291
1,8|291|sample|8|103,474.605,1.37468,45.6129,67107.4,14.4742,True,32.0|103,291
1,8|291|sample|9|103,474.605,1.37468,48.6733,67107.4,14.4742,True,32.0|103,291
1,8|291|vc|1|2|103,474.605,1.37469,15.3097,67107.4,14.4742,False,69.0|103,291
1,8|291|vc|2|2|103,474.605,1.37469,8.44925,67107.4,14.4742,False,69.0|103,291
1,8|291|vc|3|2|103,474.605,1.37469,3.35322,67107.4,14.4742,False,69.0|103,291
1,8|291|vc|4|2|103,474.605,1.37469,8.33013,67107.4,14.4742,False,69.0|103,291
1,8|291|vc|5|2|103,474.605,1.37469,0.85597,67107.4,14.4742,False,69.0|103,291
1,8|291|vc|6|2|103,474.605,1.37469,6.74709,67107.4,14.4742,False,69.0|103,291
1,8|291|vc|7|2|103,474.605,1.37469,0.225453,67107.4,14.4742,False,69.0|103,291
1,8|291|vc|8|2|103,474.605,1.37469,24.363,67107.4,14.4742,False,69.0|103,291
1,8|77|cc|1|1|218,474.605,1.37464,36.3803,67107.4,14.4742,False,69.0|218,77
1,8|77|cc|2|1|218,474.605,1.37464,0.231315,67107.4,14.4742,False,69.0|218,77
1,8|77|cc|3|1|218,474.605,1.37464,6.22149,67107.4,14.4742,False,69.0|218,77
1,8|77|cc|4|1|218,474.605,1.37464,7.31243,67107.4,14.4742,False,69.0|218,77
1,8|77|cc|5|1|218,474.605,1.37464,17.0649,67107.4,14.4742,False,69.0|218,77
1,8|77|cc|6|1|218,474.605,1.37464,0.529953,67107.4,14.4742,False,69.0|218,77
1,8|77|cc|7|1|218,474.605,1.37464,0.340386,67107.4,14.4742,False,69.0|218,77
1,8|77|cc|8|1|218,474.605,1.37464,3.71844,67107.4,14.4742,False,69.0|218,77
1,8|77|sample|10|218,474.605,1.0076,28.2585,67107.4,14.4742,True,32.0|218,77
1,8|77|sample|11|218,474.605,1.37465,32.0996,67107.4,14.4742,True,22.0|218,77
1,8|77|sample|12|218,474.605,1.37465,33.9944,67107.4,14.4742,True,22.0|218,77
1,8|77|sample|3|218,474.605,1.37463,268.554,67107.4,14.4742,True,55.0|218,77
1,8|77|sample|4|218,474.605,1.37463,249.022,67107.4,14.4742,True,55.0|218,77
1,8|77|sample|5|218,474.605,1.37463,276.037,67107.4,14.4742,True,55.0|218,77
1,8|77|sample|6|218,474.605,1.37463,475.629,67107.4,14.4742,True,55.0|218,77
1,8|77|sample|7|218,474.605,1.0076,19.315,67107.4,14.4742,True,32.0|218,77
1,8|77|sample|8|218,474.605,1.0076,29.1276,67107.4,14.4742,True,32.0|218,77
1,8|77|sample|9|218,474.605,1.0076,24.954,67107.4,14.4742,True,32.0|218,77
1,8|77|vc|1|2|218,474.605,1.37464,4.01878,67107.4,14.4742,False,69.0|218,77
1,8|77|vc|2|2|218,474.605,1.37464,3.83814,67107.4,14.4742,False,69.0|218,77
1,8|77|vc|3|2|218,474.605,1.37464,5.36047,67107.4,14.4742,False,69.0|218,77
