id,eta_L_gap_SAEM,eta_m_SAEM,eta_e_SAEM,eta_alpha_SAEM,eta_k_SAEM,eta_L_gap_mode,eta_m_mode,eta_e_mode,eta_alpha_mode,eta_k_mode,goes_down,mab_virus,run_id
14|491|14|491|vc|1|2|99|2|99|69.0,0,-0.177652,0,0,0,0,1.63222e-07,0,0,0,False,69.0|99,491
14|491|14|491|vc|2|2|99|2|99|69.0,0,0.054536,0,0,0,0,2.20334e-07,0,0,0,False,69.0|99,491
14|491|14|491|vc|3|2|99|2|99|69.0,0,0.0850536,0,0,0,0,3.30768e-07,0,0,0,False,69.0|99,491
14|491|14|491|vc|4|2|99|2|99|69.0,0,0.339708,0,0,0,0,-3.48941e-07,0,0,0,False,69.0|99,491
14|491|14|491|vc|5|2|99|2|99|69.0,0,0.165293,0,0,0,0,1.67268e-07,0,0,0,False,69.0|99,491
14|491|14|491|vc|6|2|99|2|99|69.0,0,0.028015,0,0,0,0,1.32264e-07,0,0,0,False,69.0|99,491
14|491|14|491|vc|7|2|99|2|99|69.0,0,-0.584948,0,0,0,0,1.71281e-07,0,0,0,False,69.0|99,491
14|491|14|491|vc|8|2|99|2|99|69.0,0,0.00482479,0,0,0,0,2.73223e-07,0,0,0,False,69.0|99,491
14|433|14|433|sample|4|99|4|99|6.0,0,-0.856445,0,0,0,0,-0.841315,0,0,0,True,6.0|99,433
14|433|14|433|sample|3|99|3|99|6.0,0,-0.522437,0,0,0,0,-0.502395,0,0,0,True,6.0|99,433
14|433|14|433|sample|6|99|6|99|6.0,0,-2.09012,0,0,0,0,-2.05055,0,0,0,True,6.0|99,433
14|433|14|433|sample|5|99|5|99|6.0,0,-2.07006,0,0,0,0,-2.03525,0,0,0,True,6.0|99,433
14|433|14|433|sample|8|99|8|99|6.0,0,4.39533,0,0,0,0,4.6527,0,0,0,True,6.0|99,433
14|433|14|433|sample|7|99|7|99|6.0,0,5.1542,0,0,0,0,5.41459,0,0,0,True,6.0|99,433
14|433|14|433|sample|10|99|10|99|6.0,0,-1.15194,0,0,0,0,-1.131,0,0,0,True,6.0|99,433
14|433|14|433|sample|9|99|9|99|6.0,0,-1.21745,0,0,0,0,-1.23906,0,0,0,True,6.0|99,433
14|433|14|433|sample|11|99|11|99|6.0,0,-1.85559,0,0,0,0,-1.83964,0,0,0,True,6.0|99,433
14|433|14|433|sample|12|99|12|99|6.0,0,-1.84063,0,0,0,0,-1.82553,0,0,0,True,6.0|99,433
14|433|14|433|cc|1|1|99|1|99|69.0,0,0.221649,0,0,0,0,-4.36483e-08,0,0,0,False,69.0|99,433
14|433|14|433|cc|2|1|99|1|99|69.0,0,-0.0171186,0,0,0,0,-3.0444e-07,0,0,0,False,69.0|99,433
14|433|14|433|cc|3|1|99|1|99|69.0,0,0.00743857,0,0,0,0,3.05915e-07,0,0,0,False,69.0|99,433
14|433|14|433|cc|4|1|99|1|99|69.0,0,-0.159111,0,0,0,0,-2.38133e-07,0,0,0,False,69.0|99,433
14|433|14|433|cc|5|1|99|1|99|69.0,0,0.117867,0,0,0,0,-1.14272e-07,0,0,0,False,69.0|99,433
14|433|14|433|cc|6|1|99|1|99|69.0,0,-0.278113,0,0,0,0,-6.39993e-08,0,0,0,False,69.0|99,433
14|433|14|433|cc|7|1|99|1|99|69.0,0,-0.179818,0,0,0,0,-1.51934e-07,0,0,0,False,69.0|99,433
14|433|14|433|cc|8|1|99|1|99|69.0,0,-0.0521538,0,0,0,0,1.71726e-07,0,0,0,False,69.0|99,433
