parameter,value,CV,se_sa,rse_sa,P2.5_sa,P97.5_sa
beta_eta_alpha_mab_virus_65_0_322,-0.0118310218688933,,nan,nan,nan,nan
beta_eta_alpha_mab_virus_69_0_103,0.000555841567146709,,0.088017432345626,15834.9856412222,-0.171955,0.173067
beta_eta_alpha_mab_virus_69_0_274,-0.000149815396339424,,0.611618971782331,408248.408859552,-1.1989,1.1986
beta_eta_alpha_mab_virus_69_0_276,-0.00258038475738552,,0.373182624703832,14462.28604613,-0.734005,0.728844
beta_eta_alpha_mab_virus_69_0_292,-0.0222519554572983,,0.0891334584225679,400.564609225539,-0.19695,0.152446
beta_eta_alpha_mab_virus_69_0_322,0.00422852856805277,,0.0790147896711735,1868.61193910675,-0.150638,0.159095
beta_eta_alpha_mab_virus_70_0_274,0.0095238384622903,,nan,nan,nan,nan
beta_eta_alpha_run_id_1159,0.0197814192314596,,nan,nan,nan,nan
beta_eta_alpha_run_id_1197,0.0113109749252557,,nan,nan,nan,nan
beta_eta_alpha_run_id_152,0.0267431995656074,,nan,nan,nan,nan
beta_eta_alpha_run_id_411,0.00845394109162203,,nan,nan,nan,nan
beta_eta_alpha_run_id_462,-0.00619824646233757,,0.0941485949960643,1518.95532983627,-0.190726,0.17833
eta_U_pop,0,,nan,nan,nan,nan
beta_eta_U_mab_virus_22_0_276,0,,nan,nan,nan,nan
beta_eta_U_mab_virus_22_0_292,0,,36.5030904471561,inf,-71.5447,71.5447
beta_eta_U_mab_virus_22_0_322,0,,28.9110951269459,inf,-56.6647,56.6647
beta_eta_U_mab_virus_28_0_103,0,,nan,nan,nan,nan
beta_eta_U_mab_virus_28_0_276,0,,nan,nan,nan,nan
beta_eta_U_mab_virus_28_0_292,0,,68.3442012582882,inf,-133.952,133.952
beta_eta_U_mab_virus_28_0_322,0,,nan,nan,nan,nan
beta_eta_U_mab_virus_32_0_292,0,,nan,nan,nan,nan
beta_eta_U_mab_virus_55_0_292,0,,nan,nan,nan,nan
beta_eta_U_mab_virus_65_0_103,0,,37.2758292308524,inf,-73.0593,73.0593
beta_eta_U_mab_virus_65_0_276,0,,44.6096303567113,inf,-87.4333,87.4333
beta_eta_U_mab_virus_65_0_292,0,,68.6463797752173,inf,-134.544,134.544
beta_eta_U_mab_virus_65_0_322,0,,33.6360411661976,inf,-65.9254,65.9254
beta_eta_U_mab_virus_69_0_103,0,,nan,nan,nan,nan
beta_eta_U_mab_virus_69_0_274,0,,nan,nan,nan,nan
beta_eta_U_mab_virus_69_0_276,0,,nan,nan,nan,nan
beta_eta_U_mab_virus_69_0_292,0,,nan,nan,nan,nan
beta_eta_U_mab_virus_69_0_322,0,,nan,nan,nan,nan
beta_eta_U_mab_virus_70_0_274,0,,22.5579098581502,inf,-44.2127,44.2127
beta_eta_U_run_id_1159,0,,58.2080080693136,inf,-114.086,114.086
beta_eta_U_run_id_1197,0,,nan,nan,nan,nan
beta_eta_U_run_id_152,0,,nan,nan,nan,nan
beta_eta_U_run_id_411,0,,nan,nan,nan,nan
beta_eta_U_run_id_462,0,,nan,nan,nan,nan
omega_f,2.38281647487296,1706.78014127834,2.74020544554997,114.998594077459,0.548324,10.3549
omega_h,6.03807036600274e-08,4.50389553966148e-06,nan,nan,nan,nan
omega_L_gap,6.96281229802513e-08,-2.87264415569418e-07,nan,nan,nan,nan
omega_eta_alpha,0.0617714913141189,214.46875154075,nan,nan,nan,nan
omega_eta_U,19.1462741749461,inf,nan,nan,nan,nan
acc,40.6332085399346,,27.9071142013611,68.6805576131989,13.8947,118.827
bcc,2.22044604925031e-16,,0.0394327693455495,1.77589405330804e+16,2.9561e-21,1.66786e-11
asample,33.6713173193838,,14.8159008694014,44.0015480501331,15.6186,72.5904
bsample,0.14891438687435,,0.00851613518432541,5.71881291195261,0.133161,0.166532
avc,49.750697283894,,1484.52585596268,2983.92974774098,1.33156,1858.83
bvc,0.0441527519172939,,0.0156375430599408,35.4169160038602,0.0232682,0.0837822
