rep,id,U,L,m,e,alpha,k,goes_down,mab_virus,run_id
1,8|474|sample|9|276,1,1.83923e-08,1.93922,44.1218,0.134353,1.04114e-15,True,32.0|276,474
1,8|474|vc|1|2|276,1,2.8228e-08,0.956181,23.5086,0.134353,1.04114e-15,False,69.0|276,474
1,8|474|vc|2|2|276,1,2.82279e-08,0.999048,23.5086,0.134353,1.04114e-15,False,69.0|276,474
1,8|474|vc|3|2|276,1,2.82279e-08,1.4979,23.5086,0.134353,1.04114e-15,False,69.0|276,474
1,8|474|vc|4|2|276,1,2.8228e-08,1.80398,23.5086,0.134353,1.04114e-15,False,69.0|276,474
1,8|474|vc|5|2|276,1,2.82279e-08,0.584508,23.5086,0.134353,1.04114e-15,False,69.0|276,474
1,8|474|vc|6|2|276,1,2.8228e-08,1.1514,23.5086,0.134353,1.04114e-15,False,69.0|276,474
1,8|474|vc|7|2|276,1,2.8228e-08,0.86761,23.5086,0.134353,1.04114e-15,False,69.0|276,474
1,8|474|vc|8|2|276,1,2.8228e-08,1.36506,23.5086,0.134353,1.04114e-15,False,69.0|276,474
1,8|462|cc|1|1|292,1,2.73019e-08,1.26516,8.0549,0.215684,1.03691e-15,False,69.0|292,462
1,8|462|cc|2|1|292,1,2.73019e-08,1.65898,8.0549,0.215684,1.03691e-15,False,69.0|292,462
1,8|462|cc|3|1|292,1,2.73019e-08,0.710028,8.0549,0.215684,1.03691e-15,False,69.0|292,462
1,8|462|cc|4|1|292,1,2.73019e-08,1.26075,8.0549,0.215684,1.03691e-15,False,69.0|292,462
1,8|462|cc|5|1|292,1,2.73019e-08,1.19168,8.0549,0.215684,1.03691e-15,False,69.0|292,462
1,8|462|cc|6|1|292,1,2.73019e-08,1.64451,8.0549,0.215684,1.03691e-15,False,69.0|292,462
1,8|462|cc|7|1|292,1,2.73019e-08,0.953459,8.0549,0.215684,1.03691e-15,False,69.0|292,462
1,8|462|cc|8|1|292,1,2.73019e-08,3.05873,8.0549,0.215684,1.03691e-15,False,69.0|292,462
1,8|462|sample|10|292,1,6.94424e-10,1.88552,35.2759,0.215684,1.03691e-15,True,32.0|292,462
1,8|462|sample|11|292,1,1.45875e-08,1.86423,2.96828,0.215684,1.03691e-15,True,22.0|292,462
1,8|462|sample|12|292,1,1.45875e-08,2.03542,2.96828,0.215684,1.03691e-15,True,22.0|292,462
1,8|462|sample|3|292,1,5.22592e-06,0.907006,0.681415,0.215684,1.03691e-15,True,55.0|292,462
1,8|462|sample|4|292,1,5.22592e-06,0.847137,0.681415,0.215684,1.03691e-15,True,55.0|292,462
1,8|462|sample|5|292,1,5.22592e-06,0.585269,0.681415,0.215684,1.03691e-15,True,55.0|292,462
1,8|462|sample|6|292,1,5.22592e-06,0.551056,0.681415,0.215684,1.03691e-15,True,55.0|292,462
1,8|462|sample|7|292,1,6.94424e-10,1.95009,35.2759,0.215684,1.03691e-15,True,32.0|292,462
1,8|462|sample|8|292,1,6.94424e-10,1.7038,35.2759,0.215684,1.03691e-15,True,32.0|292,462
1,8|462|sample|9|292,1,6.94424e-10,1.86592,35.2759,0.215684,1.03691e-15,True,32.0|292,462
1,8|462|vc|1|2|292,1,2.73019e-08,0.91638,8.0549,0.215684,1.03691e-15,False,69.0|292,462
1,8|462|vc|2|2|292,1,2.73019e-08,1.11507,8.0549,0.215684,1.03691e-15,False,69.0|292,462
1,8|462|vc|3|2|292,1,2.73019e-08,0.445332,8.0549,0.215684,1.03691e-15,False,69.0|292,462
1,8|462|vc|4|2|292,1,2.73019e-08,0.931112,8.0549,0.215684,1.03691e-15,False,69.0|292,462
1,8|462|vc|5|2|292,1,2.73019e-08,2.54946,8.0549,0.215684,1.03691e-15,False,69.0|292,462
1,8|462|vc|6|2|292,1,2.73019e-08,1.34186,8.0549,0.215684,1.03691e-15,False,69.0|292,462
1,8|462|vc|7|2|292,1,2.73019e-08,0.528422,8.0549,0.215684,1.03691e-15,False,69.0|292,462
1,8|462|vc|8|2|292,1,2.73019e-08,0.758002,8.0549,0.215684,1.03691e-15,False,69.0|292,462
1,8|75|cc|1|1|65,1,7.49196e-08,0.583879,99.4987,0.224579,1.03987e-15,False,69.0|65,75
1,8|75|cc|2|1|65,1,7.49196e-08,1.52175,99.4987,0.224579,1.03987e-15,False,69.0|65,75
1,8|75|cc|3|1|65,1,7.49196e-08,1.41746,99.4987,0.224579,1.03987e-15,False,69.0|65,75
1,8|75|cc|4|1|65,1,7.49196e-08,0.955647,99.4987,0.224579,1.03987e-15,False,69.0|65,75
1,8|75|cc|5|1|65,1,7.49196e-08,1.10056,99.4987,0.224579,1.03987e-15,False,69.0|65,75
1,8|75|cc|6|1|65,1,7.49196e-08,2.74705,99.4987,0.224579,1.03987e-15,False,69.0|65,75
1,8|75|cc|7|1|65,1,7.49196e-08,0.945519,99.4987,0.224579,1.03987e-15,False,69.0|65,75
1,8|75|cc|8|1|65,1,7.49196e-08,1.42348,99.4987,0.224579,1.03987e-15,False,69.0|65,75
1,8|75|sample|10|65,1,4.2227e-07,0.820894,0.592641,0.224579,1.03987e-15,True,32.0|65,75
1,8|75|sample|11|65,1,8.42002e-08,1.11433,20.8246,0.224579,1.03987e-15,True,22.0|65,75
1,8|75|sample|12|65,1,8.42002e-08,1.55524,20.8246,0.224579,1.03987e-15,True,22.0|65,75
1,8|75|sample|3|65,1,1.15987e-08,0.774717,39.385,0.224579,1.03987e-15,True,55.0|65,75
1,8|75|sample|4|65,1,1.15987e-08,0.899378,39.385,0.224579,1.03987e-15,True,55.0|65,75
1,8|75|sample|5|65,1,1.15987e-08,0.605993,39.385,0.224579,1.03987e-15,True,55.0|65,75
1,8|75|sample|6|65,1,1.15987e-08,0.61267,39.385,0.224579,1.03987e-15,True,55.0|65,75
1,8|75|sample|7|65,1,4.2227e-07,1.31246,0.592641,0.224579,1.03987e-15,True,32.0|65,75
1,8|75|sample|8|65,1,4.2227e-07,0.999322,0.59264,0.224579,1.03987e-15,True,32.0|65,75
1,8|75|sample|9|65,1,4.2227e-07,0.790371,0.592641,0.224579,1.03987e-15,True,32.0|65,75
1,8|75|vc|1|2|65,1,7.49196e-08,1.02671,99.4987,0.224579,1.03987e-15,False,69.0|65,75
1,8|75|vc|2|2|65,1,7.49196e-08,1.05203,99.4987,0.224579,1.03987e-15,False,69.0|65,75
1,8|75|vc|3|2|65,1,7.49196e-08,1.87562,99.4987,0.224579,1.03987e-15,False,69.0|65,75
1,8|75|vc|4|2|65,1,7.49196e-08,1.0289,99.4987,0.224579,1.03987e-15,False,69.0|65,75
1,8|75|vc|5|2|65,1,7.49196e-08,0.663387,99.4987,0.224579,1.03987e-15,False,69.0|65,75
1,8|75|vc|6|2|65,1,7.49196e-08,0.701235,99.4987,0.224579,1.03987e-15,False,69.0|65,75
1,8|75|vc|7|2|65,1,7.49196e-08,0.80384,99.4987,0.224579,1.03987e-15,False,69.0|65,75
1,8|75|vc|8|2|65,1,7.49196e-08,1.25844,99.4987,0.224579,1.03987e-15,False,69.0|65,75
1,8|291|cc|1|1|103,1,2.96645e-08,0.885074,32.7165,0.134353,1.04114e-15,False,69.0|103,291
1,8|291|cc|2|1|103,1,2.96645e-08,1.08917,32.7165,0.134353,1.04114e-15,False,69.0|103,291
1,8|291|cc|3|1|103,1,2.96645e-08,1.58991,32.7165,0.134353,1.04114e-15,False,69.0|103,291
1,8|291|cc|4|1|103,1,2.96645e-08,0.454694,32.7165,0.134353,1.04114e-15,False,69.0|103,291
1,8|291|cc|5|1|103,1,2.96645e-08,2.19266,32.7165,0.134353,1.04114e-15,False,69.0|103,291
1,8|291|cc|6|1|103,1,2.96645e-08,0.875652,32.7165,0.134353,1.04114e-15,False,69.0|103,291
1,8|291|cc|7|1|103,1,2.96645e-08,1.84782,32.7165,0.134353,1.04114e-15,False,69.0|103,291
1,8|291|cc|8|1|103,1,2.96645e-08,0.69282,32.7165,0.134353,1.04114e-15,False,69.0|103,291
1,8|291|sample|10|103,1,3.608e-09,1.801,40.2193,0.134353,1.04114e-15,True,32.0|103,291
1,8|291|sample|11|103,1,1.06312e-07,2.00606,39.2478,0.134353,1.04114e-15,True,22.0|103,291
1,8|291|sample|12|103,1,1.06312e-07,1.61892,39.2478,0.134353,1.04114e-15,True,22.0|103,291
1,8|291|sample|3|103,1,5.64361e-08,1.49601,2.40265,0.134353,1.04114e-15,True,55.0|103,291
1,8|291|sample|4|103,1,5.64361e-08,1.54204,2.40265,0.134353,1.04114e-15,True,55.0|103,291
1,8|291|sample|5|103,1,5.64361e-08,1.54603,2.40265,0.134353,1.04114e-15,True,55.0|103,291
1,8|291|sample|6|103,1,5.64361e-08,1.55942,2.40265,0.134353,1.04114e-15,True,55.0|103,291
1,8|291|sample|7|103,1,3.608e-09,1.6654,40.2193,0.134353,1.04114e-15,True,32.0|103,291
1,8|291|sample|8|103,1,3.608e-09,1.549,40.2193,0.134353,1.04114e-15,True,32.0|103,291
1,8|291|sample|9|103,1,3.608e-09,1.59684,40.2193,0.134353,1.04114e-15,True,32.0|103,291
1,8|291|vc|1|2|103,1,2.96645e-08,2.56427,32.7165,0.134353,1.04114e-15,False,69.0|103,291
1,8|291|vc|2|2|103,1,2.96645e-08,1.28168,32.7165,0.134353,1.04114e-15,False,69.0|103,291
1,8|291|vc|3|2|103,1,2.96645e-08,1.72819,32.7165,0.134353,1.04114e-15,False,69.0|103,291
1,8|291|vc|4|2|103,1,2.96645e-08,0.403297,32.7165,0.134353,1.04114e-15,False,69.0|103,291
1,8|291|vc|5|2|103,1,2.96645e-08,0.788792,32.7165,0.134353,1.04114e-15,False,69.0|103,291
1,8|291|vc|6|2|103,1,2.96645e-08,1.1604,32.7165,0.134353,1.04114e-15,False,69.0|103,291
1,8|291|vc|7|2|103,1,2.96645e-08,2.05757,32.7165,0.134353,1.04114e-15,False,69.0|103,291
1,8|291|vc|8|2|103,1,2.96645e-08,1.08082,32.7165,0.134353,1.04114e-15,False,69.0|103,291
1,8|77|cc|1|1|218,1,4.48491e-08,1.28005,18.3088,0.134353,1.04114e-15,False,69.0|218,77
1,8|77|cc|2|1|218,1,4.48491e-08,0.479353,18.3088,0.134353,1.04114e-15,False,69.0|218,77
1,8|77|cc|3|1|218,1,4.48491e-08,2.88261,18.3088,0.134353,1.04114e-15,False,69.0|218,77
1,8|77|cc|4|1|218,1,4.48491e-08,0.661086,18.3088,0.134353,1.04114e-15,False,69.0|218,77
1,8|77|cc|5|1|218,1,4.48491e-08,0.71023,18.3088,0.134353,1.04114e-15,False,69.0|218,77
1,8|77|cc|6|1|218,1,4.48491e-08,0.967734,18.3088,0.134353,1.04114e-15,False,69.0|218,77
1,8|77|cc|7|1|218,1,4.48491e-08,0.842667,18.3088,0.134353,1.04114e-15,False,69.0|218,77
1,8|77|cc|8|1|218,1,4.48491e-08,2.4517,18.3088,0.134353,1.04114e-15,False,69.0|218,77
1,8|77|sample|10|218,1,9.64799e-08,0.916103,21.7414,0.134353,1.04114e-15,True,32.0|218,77
1,8|77|sample|11|218,1,2.95413e-08,1.68381,21.6888,0.134353,1.04114e-15,True,22.0|218,77
1,8|77|sample|12|218,1,2.95413e-08,1.57039,21.6888,0.134353,1.04114e-15,True,22.0|218,77
1,8|77|sample|3|218,1,6.11959e-07,1.04712,422.558,0.134353,1.04114e-15,True,55.0|218,77
