rep,id,eta_U,eta_L,eta_L_gap,eta_h,eta_f,eta_alpha,eta_k,goes_down,mab_virus,run_id
1,14|491|14|491|cc|5|1|99|1|99|69.0,0,0,2.88115e-08,0.945758,-9.38066e-08,0,0,False,69.0|99,491
1,14|491|14|491|cc|6|1|99|1|99|69.0,0,0,-3.29357e-08,-0.206393,-6.80993e-08,0,0,False,69.0|99,491
1,14|491|14|491|cc|7|1|99|1|99|69.0,0,0,-1.57893e-08,1.04501,-3.64383e-08,0,0,False,69.0|99,491
1,14|491|14|491|cc|8|1|99|1|99|69.0,0,0,-4.85014e-08,-0.25751,7.40381e-08,0,0,False,69.0|99,491
1,14|491|14|491|vc|1|2|99|2|99|69.0,0,0,-5.06244e-08,1.6348,5.55924e-08,0,0,False,69.0|99,491
1,14|491|14|491|vc|2|2|99|2|99|69.0,0,0,-3.58588e-08,-0.277698,2.44263e-08,0,0,False,69.0|99,491
1,14|491|14|491|vc|3|2|99|2|99|69.0,0,0,-5.52012e-08,-0.514231,1.44645e-07,0,0,False,69.0|99,491
1,14|491|14|491|vc|4|2|99|2|99|69.0,0,0,-2.60535e-08,1.2578,-1.14014e-07,0,0,False,69.0|99,491
1,14|491|14|491|vc|5|2|99|2|99|69.0,0,0,1.98466e-08,-0.0371299,5.30135e-08,0,0,False,69.0|99,491
1,14|491|14|491|vc|6|2|99|2|99|69.0,0,0,4.36512e-09,0.434356,-4.62765e-08,0,0,False,69.0|99,491
1,14|491|14|491|vc|7|2|99|2|99|69.0,0,0,-1.76676e-08,2.85,-2.46374e-08,0,0,False,69.0|99,491
1,14|491|14|491|vc|8|2|99|2|99|69.0,0,0,-8.56935e-08,-1.87958,8.02533e-09,0,0,False,69.0|99,491
1,14|433|14|433|sample|4|99|4|99|6.0,0,0,9.65411e-09,1.37996,-2.29905e-09,0,0,True,6.0|99,433
1,14|433|14|433|sample|3|99|3|99|6.0,0,0,7.94715e-09,1.33242,1.31693e-08,0,0,True,6.0|99,433
1,14|433|14|433|sample|6|99|6|99|6.0,0,0,-3.88033e-08,0.330357,-2.45606e-08,0,0,True,6.0|99,433
1,14|433|14|433|sample|5|99|5|99|6.0,0,0,5.15127e-08,0.38533,-5.60144e-08,0,0,True,6.0|99,433
1,14|433|14|433|sample|8|99|8|99|6.0,0,0,2.20867e-08,3.49364,-5.05584e-08,0,0,True,6.0|99,433
1,14|433|14|433|sample|7|99|7|99|6.0,0,0,7.69902e-10,2.19416,-9.35715e-08,0,0,True,6.0|99,433
1,14|433|14|433|sample|10|99|10|99|6.0,0,0,-8.2459e-09,1.13957,-1.52191e-08,0,0,True,6.0|99,433
1,14|433|14|433|sample|9|99|9|99|6.0,0,0,-5.24904e-09,1.15116,-3.38878e-08,0,0,True,6.0|99,433
1,14|433|14|433|sample|11|99|11|99|6.0,0,0,2.25397e-08,0.579809,3.99456e-08,0,0,True,6.0|99,433
1,14|433|14|433|sample|12|99|12|99|6.0,0,0,-1.36444e-09,0.649248,4.12142e-08,0,0,True,6.0|99,433
1,14|433|14|433|cc|1|1|99|1|99|69.0,0,0,1.56615e-08,-1.94036,5.28392e-08,0,0,False,69.0|99,433
1,14|433|14|433|cc|2|1|99|1|99|69.0,0,0,-2.25541e-08,1.72182,7.22694e-08,0,0,False,69.0|99,433
1,14|433|14|433|cc|3|1|99|1|99|69.0,0,0,-1.93166e-09,0.246252,-3.58426e-08,0,0,False,69.0|99,433
1,14|433|14|433|cc|4|1|99|1|99|69.0,0,0,1.31042e-08,-0.936211,1.14593e-08,0,0,False,69.0|99,433
1,14|433|14|433|cc|5|1|99|1|99|69.0,0,0,-2.13805e-09,0.245853,1.50596e-08,0,0,False,69.0|99,433
1,14|433|14|433|cc|6|1|99|1|99|69.0,0,0,-2.8305e-08,1.23081,4.16968e-08,0,0,False,69.0|99,433
1,14|433|14|433|cc|7|1|99|1|99|69.0,0,0,-8.81293e-09,0.240494,-8.89822e-08,0,0,False,69.0|99,433
1,14|433|14|433|cc|8|1|99|1|99|69.0,0,0,-3.16545e-08,-2.55906,-2.003e-08,0,0,False,69.0|99,433
1,14|433|14|433|vc|1|2|99|2|99|69.0,0,0,-9.05997e-11,1.27071,2.64368e-08,0,0,False,69.0|99,433
1,14|433|14|433|vc|2|2|99|2|99|69.0,0,0,-2.54326e-08,2.67287,7.33296e-09,0,0,False,69.0|99,433
1,14|433|14|433|vc|3|2|99|2|99|69.0,0,0,1.63113e-08,1.6594,-4.21633e-08,0,0,False,69.0|99,433
1,14|433|14|433|vc|4|2|99|2|99|69.0,0,0,2.95255e-08,2.2726,6.62447e-09,0,0,False,69.0|99,433
1,14|433|14|433|vc|5|2|99|2|99|69.0,0,0,-9.10204e-08,1.00492,9.45626e-10,0,0,False,69.0|99,433
1,14|433|14|433|vc|6|2|99|2|99|69.0,0,0,-3.13147e-09,-0.170565,-5.84407e-08,0,0,False,69.0|99,433
1,14|433|14|433|vc|7|2|99|2|99|69.0,0,0,-5.68254e-11,-0.133278,5.47031e-08,0,0,False,69.0|99,433
1,14|433|14|433|vc|8|2|99|2|99|69.0,0,0,-1.4112e-08,-1.72404,5.22856e-08,0,0,False,69.0|99,433
1,14|297|14|297|sample|3|71|3|71|6.0,0,0,5.59573e-08,0.668425,4.30591e-08,0,0,True,6.0|71,297
1,14|297|14|297|sample|4|71|4|71|6.0,0,0,2.95001e-08,0.710195,-8.28944e-08,0,0,True,6.0|71,297
1,14|297|14|297|sample|5|71|5|71|6.0,0,0,8.12094e-09,2.06625,4.52065e-08,0,0,True,6.0|71,297
1,14|297|14|297|sample|6|71|6|71|6.0,0,0,8.72133e-09,3.12868,-5.51373e-08,0,0,True,6.0|71,297
1,14|297|14|297|sample|8|71|8|71|6.0,0,0,5.84863e-08,1.54196,3.3601e-08,0,0,True,6.0|71,297
1,14|297|14|297|sample|7|71|7|71|6.0,0,0,8.97239e-08,2.44085,5.76262e-08,0,0,True,6.0|71,297
1,14|297|14|297|sample|9|71|9|71|6.0,0,0,-3.91184e-08,2.36709,-9.51865e-08,0,0,True,6.0|71,297
1,14|297|14|297|sample|10|71|10|71|6.0,0,0,-1.66989e-08,2.27146,-1.41708e-07,0,0,True,6.0|71,297
1,14|297|14|297|sample|12|71|12|71|6.0,0,0,-3.0212e-08,0.486708,-2.43507e-08,0,0,True,6.0|71,297
1,14|297|14|297|sample|11|71|11|71|6.0,0,0,2.91252e-08,0.36899,6.84415e-08,0,0,True,6.0|71,297
1,14|297|14|297|cc|1|1|71|1|71|69.0,0,0,1.78679e-08,-1.29836,1.57089e-08,0,0,False,69.0|71,297
1,14|297|14|297|cc|2|1|71|1|71|69.0,0,0,-6.67553e-08,-1.96017,-2.23945e-08,0,0,False,69.0|71,297
1,14|297|14|297|cc|3|1|71|1|71|69.0,0,0,1.44232e-08,-0.207091,-4.495e-09,0,0,False,69.0|71,297
1,14|297|14|297|cc|4|1|71|1|71|69.0,0,0,2.92952e-09,-1.10397,-3.05087e-08,0,0,False,69.0|71,297
1,14|297|14|297|cc|5|1|71|1|71|69.0,0,0,8.18704e-10,0.340513,-1.87306e-09,0,0,False,69.0|71,297
1,14|297|14|297|cc|6|1|71|1|71|69.0,0,0,-1.71198e-08,1.77357,-1.02754e-07,0,0,False,69.0|71,297
1,14|297|14|297|cc|7|1|71|1|71|69.0,0,0,-5.83281e-08,0.13041,-4.3667e-08,0,0,False,69.0|71,297
1,14|297|14|297|cc|8|1|71|1|71|69.0,0,0,2.4763e-08,1.13313,-5.4159e-08,0,0,False,69.0|71,297
1,14|297|14|297|vc|1|2|71|2|71|69.0,0,0,2.58242e-08,-3.39875,1.44625e-07,0,0,False,69.0|71,297
1,14|297|14|297|vc|2|2|71|2|71|69.0,0,0,-3.10178e-09,1.54844,-1.79441e-08,0,0,False,69.0|71,297
1,14|297|14|297|vc|3|2|71|2|71|69.0,0,0,1.58684e-08,-2.94358,-3.01566e-08,0,0,False,69.0|71,297
1,14|297|14|297|vc|4|2|71|2|71|69.0,0,0,-5.03314e-09,1.54471,1.99443e-08,0,0,False,69.0|71,297
1,14|297|14|297|vc|5|2|71|2|71|69.0,0,0,8.11852e-09,-2.43175,6.3348e-08,0,0,False,69.0|71,297
1,14|297|14|297|vc|6|2|71|2|71|69.0,0,0,4.82645e-08,-1.92269,-2.99665e-08,0,0,False,69.0|71,297
1,14|297|14|297|vc|7|2|71|2|71|69.0,0,0,5.43256e-08,-1.1373,-3.95399e-08,0,0,False,69.0|71,297
1,14|297|14|297|vc|8|2|71|2|71|69.0,0,0,-4.60929e-08,2.96343,3.93563e-09,0,0,False,69.0|71,297
1,14|183|14|183|sample|4|233|4|233|6.0,0,0,8.12311e-08,2.62506,-2.30377e-08,0,0,True,6.0|233,183
1,14|183|14|183|sample|3|233|3|233|6.0,0,0,-2.98117e-08,1.81226,-6.76428e-08,0,0,True,6.0|233,183
1,14|183|14|183|sample|6|233|6|233|6.0,0,0,-7.08547e-08,4.6104,1.32565e-08,0,0,True,6.0|233,183
1,14|183|14|183|sample|5|233|5|233|6.0,0,0,3.7629e-08,3.37079,6.98945e-08,0,0,True,6.0|233,183
1,14|183|14|183|sample|7|233|7|233|6.0,0,0,-9.29229e-08,1.46147,-6.35221e-08,0,0,True,6.0|233,183
1,14|183|14|183|sample|8|233|8|233|6.0,0,0,-2.44748e-08,0.723129,4.82866e-08,0,0,True,6.0|233,183
1,14|183|14|183|sample|10|233|10|233|6.0,0,0,-1.43127e-08,2.30517,6.67924e-08,0,0,True,6.0|233,183
1,14|183|14|183|sample|9|233|9|233|6.0,0,0,1.51963e-08,2.38724,-3.54943e-08,0,0,True,6.0|233,183
1,14|183|14|183|sample|12|233|12|233|6.0,0,0,3.54949e-08,1.87822,-3.28959e-08,0,0,True,6.0|233,183
1,14|183|14|183|sample|11|233|11|233|6.0,0,0,8.34041e-08,0.611777,7.78997e-08,0,0,True,6.0|233,183
1,14|183|14|183|cc|1|1|233|1|233|69.0,0,0,-3.52995e-08,-1.082,7.61161e-08,0,0,False,69.0|233,183
1,14|183|14|183|cc|2|1|233|1|233|69.0,0,0,-1.13548e-08,-0.151212,3.85149e-08,0,0,False,69.0|233,183
1,14|183|14|183|cc|3|1|233|1|233|69.0,0,0,3.99891e-08,0.831504,-1.12905e-07,0,0,False,69.0|233,183
1,14|183|14|183|cc|4|1|233|1|233|69.0,0,0,-2.89186e-08,2.46494,-3.73931e-08,0,0,False,69.0|233,183
1,14|183|14|183|cc|5|1|233|1|233|69.0,0,0,-6.4537e-08,-0.466897,-2.36007e-08,0,0,False,69.0|233,183
1,14|183|14|183|cc|6|1|233|1|233|69.0,0,0,-1.5367e-08,0.564214,5.50647e-08,0,0,False,69.0|233,183
1,14|183|14|183|cc|7|1|233|1|233|69.0,0,0,-6.65053e-08,-0.542878,-3.78152e-08,0,0,False,69.0|233,183
1,14|183|14|183|cc|8|1|233|1|233|69.0,0,0,7.18885e-08,-2.99878,-1.44828e-08,0,0,False,69.0|233,183
1,14|183|14|183|vc|1|2|233|2|233|69.0,0,0,-1.07753e-08,-1.10566,-2.6337e-08,0,0,False,69.0|233,183
1,14|183|14|183|vc|2|2|233|2|233|69.0,0,0,-2.0709e-08,-0.224383,-8.0242e-08,0,0,False,69.0|233,183
1,14|183|14|183|vc|3|2|233|2|233|69.0,0,0,-2.60643e-08,1.05201,3.1719e-10,0,0,False,69.0|233,183
1,14|183|14|183|vc|4|2|233|2|233|69.0,0,0,1.77987e-08,2.82112,2.36567e-08,0,0,False,69.0|233,183
1,14|183|14|183|vc|5|2|233|2|233|69.0,0,0,5.39196e-08,-0.219093,1.18721e-09,0,0,False,69.0|233,183
1,14|183|14|183|vc|6|2|233|2|233|69.0,0,0,3.66711e-08,-0.2197,-3.84172e-08,0,0,False,69.0|233,183
1,14|183|14|183|vc|7|2|233|2|233|69.0,0,0,1.68756e-08,0.275001,1.69346e-08,0,0,False,69.0|233,183
1,14|183|14|183|vc|8|2|233|2|233|69.0,0,0,7.83159e-08,-1.40963,-9.90992e-08,0,0,False,69.0|233,183
1,14|705|14|705|sample|3|233|3|233|6.0,0,0,-6.38349e-08,2.05104,-2.57981e-08,0,0,False,6.0|233,705
1,14|705|14|705|sample|4|233|4|233|6.0,0,0,2.49717e-08,1.14941,-9.55871e-09,0,0,False,6.0|233,705
1,14|705|14|705|sample|5|233|5|233|6.0,0,0,-7.4994e-08,0.160474,1.65768e-08,0,0,False,6.0|233,705
1,14|705|14|705|sample|6|233|6|233|6.0,0,0,2.51476e-10,1.35414,6.63057e-09,0,0,False,6.0|233,705
1,14|705|14|705|sample|7|233|7|233|6.0,0,0,9.4367e-08,0.132436,1.06768e-07,0,0,False,6.0|233,705
1,14|705|14|705|sample|8|233|8|233|6.0,0,0,-5.74849e-08,2.2905,-5.27293e-08,0,0,False,6.0|233,705
1,14|705|14|705|sample|10|233|10|233|6.0,0,0,6.87702e-08,1.23419,1.31941e-07,0,0,True,6.0|233,705
